text,intent
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.20    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
14 MAR 2018 18:40    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.20    ,total
WARAKUYA PERMAS CITY SDN BHD    ,company
JALAN PERMAS UTARA 1.    ,address
PERMAS JAYA 81750 MASAI JOHOR    ,address
1    ,address
57.80    ,total
YHM AEON TEBRAU CITY    ,company
S117  SECOND FLOOR     ,address
AEON TEBRAU CITY     ,address
1  JALAN DESA TEBRAU     ,address
TAMAN DESA TEBRAU     ,address
81100 JOHOR BAHRU  JOHOR.    ,address
11/03/2018 06:20 PM    ,date
1    ,address
1    ,address
1    ,address
1    ,address
13.10    ,total
13.10    ,total
13.10    ,total
1    ,address
AVTIVO PLAZA LOT B-F-11  BLOCK B    ,address
NO1.JALAN PJU 9/1 D'SARA AVEVUE    ,address
BANDAR SRI D'SARA  52000 XL    ,address
189.75    ,total
THREE STOOGES    ,company
109  SS21/1A     ,address
DAMANSARA UTAMA    ,address
343.95    ,total
THREE STOOGES    ,company
109  SS21/1A     ,address
DAMANSARA UTAMA    ,address
174.90    ,total
TASTE OF THE WORLD SDN BHD    ,company
LOT 38  39 101 BOULEVARD     ,address
JALAN KENARI 5  BANDAR PUCHONG JAYA     ,address
47170 PUCHONG  SELANGOR    ,address
32 PUB & BISTRO OWN BY CNU TRADING    ,company
78G  JALAN SS21/62     ,address
DAMANSARA UTAMA     ,address
47400 PETALING JAYA.    ,address
190.00    ,total
190.00    ,total
190.00    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
18 MAR 2018 18:25    ,date
12 JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.60    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
27 MAR 2018 18:46    ,date
12 JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
$6.90    ,total
PASAR MINI JIN SENG    ,company
379 JALAN PERMAS SATU     ,address
81750 PLENTONG JOHOR.    ,address
18/03/18    ,date
28.60    ,total
28.60    ,total
18/03/18 09:03 #002-1550040#    ,date
RESTAURANT SIN DU    ,company
K3-113 JL IBRAHIM SULTAN    ,address
80300 JOHOR BAHRU    ,address
JOHOR    ,address
09/03/2018 21:28    ,date
170.00    ,total
YONG TAT HARDWARE TRADING    ,company
TAMAN AIR BIRU     ,address
81700 PASIR GUDANG     ,address
JOHOR.    ,address
100.90    ,total
PERNIAGAAN ZHENG HUI    ,company
NO.59 JALAN PERMAS 9/5    ,address
BANDAR BARU PERMAS JAYA    ,address
8.00    ,total
8.00    ,total
LOT 50  FLOOR T2 SKY AVENUE GENTING HIGHLANDS    ,address
PAHANG  69000 PAHANG MALAYSLA    ,address
593.10    ,total
593.10    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
22 MAR 2018 18:24    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$7.60    ,total
PAGOH REST AND SERVICE AREA    ,address
LOT R1  KWS REHAT & RAWAT PAGOH ARAH UTARA     ,address
SIMPANG AMPAT PAGOH  LEBUHRAYA UTARA SELATAN.     ,address
84600 PAGOH JOHOR    ,address
10.00    ,total
10.00 ZRL    ,total
10.00    ,total
10.00    ,total
10.00    ,total
23/03/2018 9:34:40 AM    ,date
UNIHAKKA INTERNATIONAL SDN BHD    ,company
24 MAR 2018 18:23    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
$9.20    ,total
CARREFOUR RESTAURANT    ,company
18 JALAN PERMAS 10/7    ,address
BANDAR BARU PERMAS JAYA     ,address
MASAI JOHOR    ,address
13.80    ,total
13.80    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
19 MAR 2018 18:26    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.20    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
21 MAR 2018 17:59    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.70    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
29 MAR 2018 18:19    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$7.10    ,total
$7.10    ,total
$7.10    ,total
UNIHAKKA INTERNATIONAL SDN BHD    ,company
30 MAR 2018 18:17    ,date
12  JALAN TAMPOI 7/4 KAWASAN PERINDUSTRIAN    ,address
TAMPOI 81200 JOHOR BAHRU JOHOR    ,address
$8.20    ,total
TRIPLE SIX POINT ENTERPRISE 666    ,company
NO 14& 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY    ,address
7.60    ,total
7.60    ,total
BENS INDEPENDENT GROCER SDN. BHD    ,company
LOT 6  JALAN BATAI     ,address
PLAZA BATAI  DAMANSARA HEIGHTS    ,address
50490  KUALA LUMPUR    ,address
12/03/18    ,date
77.20    ,total
77.20    ,total
NANDO'S     ,company
NANDO'S CHICKENLAND MALAYSIA    ,company
SDN BHD    ,company
NANDO'S 1 MONT KIARA    ,company
UNIT G-13  GROUND FLOOR  NO.1    ,address
JLN KIARA  MONT KIARA    ,address
50480 KUALA LUMPUR    ,address
28 MAR 18 18:32:36    ,date
129.30    ,total
129.30    ,total
99 SPEED MART S/B (519537-X)    ,company
LOT P.T. 2811  JALAN ANGSA     ,address
TAMAN BERKELEY    ,address
41150 KLANG  SELANGOR    ,address
1245-DESA SRI HARTAMAS    ,address
19-03-18    ,date
11.40    ,total
11.40    ,total
PETRODELI ENTERPRISE    ,company
LOT 485 TMN LEMBAH KERAMAT    ,address
JLN ULU KELANG .    ,address
54200 KUALA LUMPUR    ,address
85.54 C    ,total
85.54    ,total
85.54    ,total
85.54    ,total
26/02/18    ,date
SUN WONG KUT SDN BHD    ,company
176 JLN SUNGEI BESI     ,address
57100 KUALA LUMPUR.    ,address
88.17 C    ,total
88.17    ,total
88.17    ,total
88.17    ,total
21/02/18    ,date
RESTAURANT JIAWEI    ,company
JIAWEI HOUSE    ,company
13  JLN TASIK UTAMA 8    ,address
MEDAN NIAGA DAMAI SG BESI    ,address
57000 KL    ,address
65.20    ,total
PASARAYA BORONG PINTAR    ,company
SDN BHD    ,company
NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4     ,address
MEDAN NIAGA TASIK DAMAI    ,address
14/03/2018 5:57:07PM    ,date
8.20    ,total
8.20    ,total
8.20    ,total
BORONG PINTAR SDN BHD    ,company
LIAN CHI PU TIAN VEGETARIAN    ,company
RESTAURANT SDN BHD    ,company
54 JALAN SS23/11.    ,address
TAMAN SEA 47400    ,address
PETALING JAYA SELANGOR    ,address
53.55    ,total
PASARAYA BORONG PINTAR    ,company
SDN BHD    ,company
NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4     ,address
MEDAN NIAGA TASIK DAMAI    ,address
3.20    ,total
3.20    ,total
3.20    ,total
3.20    ,total
3.20    ,total
3.20    ,total
BORONG PINTAR SDN BHD    ,company
99 SPEED MART S/B (519537-X)    ,company
LOT P.T. 2811  JALAN ANGSA     ,address
TAMAN BERKELEY    ,address
41150 KLANG  SELANGOR    ,address
1249-TMN PANDAN CAHAYA    ,address
20-02-18    ,date
9.90    ,total
9.90    ,total
99 SPEED MART S/B (519537-X)    ,company
LOT P.T. 2811  JALAN ANGSA     ,address
TAMAN BERKELEY    ,address
41150 KLANG  SELANGOR    ,address
1317 TRILLIUM S6 BESI    ,address
05-02-18    ,date
141.50    ,total
141.50    ,total
AEON CO. (M) BHD (126926-H)    ,address
3RD FLR  AEON TAMAN MALURI SC    ,address
JLN JEJAKA  TAMAN MALURI    ,address
CHERAS  55100 KUALA LUMPUR    ,address
17.70    ,total
17.70    ,total
17.70    ,total
19/02/2018 16:45    ,date
POPULAR BOOK    ,company
CO. (M) SDN BHD    ,company
NO 8  JALAN 7/118B  DESA TUN RAZAK    ,address
56000 KUALA LUMPUR  MALAYSIA    ,address
01/03/18 19:14    ,date
49.40    ,total
LIAN HING STATIONERY SDN BHD    ,company
NO.32 & 33 JALAN SR 1/9. SEKSYEN 9.    ,address
TAMAN SERDANG RAYA     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
DARUL EHSAN    ,address
27/03/2018    ,date
SR    ,address
SR    ,address
79.50    ,total
79.50    ,total
SR @ A    ,address
GL HANDICRAFT & TAIL ORING    ,company
19  JALAN KANCIL     ,address
OFF JALANPUDU     ,address
55100 KUALA LUMPUR    ,address
MALAYSIA    ,address
20/03/2018 13:01    ,date
102.00    ,total
102.00    ,total
102.00    ,total
102.00    ,total
102.00    ,total
LIAN HING STATIONERY SDN BHD    ,company
NO.32 & 33  JALAN SR 1/9  SEKSYEN 9     ,address
TAMAN SERDANG RAYA.    ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
DARUL EHSAN    ,address
30/03/2018    ,date
SR    ,address
SR    ,address
159.00    ,total
159.00    ,total
SR @ A    ,address
LIAN HING STATIONERY SDN BHD    ,company
NO.32 & 33  JALAN SR 1/9  SEKSYEN 9     ,address
TAMAN SERDANG RAYA     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
DARUL EHSAN    ,address
27/03/2018    ,date
SR    ,address
12.00    ,total
12.00    ,total
12.00    ,total
SR @ A    ,address
BANH MI CAFE    ,company
BANDAR PUTERI  47100 PUCHONG    ,address
SELANGOR  MALAYSIA    ,address
1    ,address
1    ,address
1    ,address
23.25    ,total
29-10-2017    ,date
THAI DELICIOUS RESTAURANT    ,company
NO.22 JALAN PUTERI 2/4    ,address
BANDAR PUTERI    ,address
47100 PUCHONG  SELANGOR    ,address
02/02/2017 7:31:08 PM    ,date
THAI    ,company
92.80    ,total
92.80    ,total
MR.D.I.Y(M)SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
KAWASAN PERINDUSTRIAN BALAKONG     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
19-09-17 15:39 SH01 ZJ03    ,date
HON HWA HARDWARE TRADING    ,company
NO 37  JALAN MANIS 7  TAMAN SEGAR     ,address
56100 CHERAS  KUALA LUMPUR.    ,address
21/09/2017 10:20:37 AM    ,date
10.40    ,total
10.40    ,total
10.40    ,total
10.40    ,total
10.40    ,total
MR. D.I.Y. SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
KAWASAN PERINDUSTRIAN BALAKONG     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
3.90    ,total
3.90    ,total
RM 3.90    ,total
RM 4.00    ,total
RM 0.10    ,total
24-11-17 13:11 SH01 ZT09    ,date
HON HWA HARDWARE TRADING    ,company
NO 37  JALAN MANIS 7  TAMAN SEGAR     ,address
56100 CHERAS  KUALA LUMPUR.    ,address
08/02/2017 3:43:01 PM    ,date
277.00    ,total
277.00    ,total
277.00    ,total
277.00    ,total
VIVOPAC MARKETING SDN BHD (1070687-M)    ,company
14 JALAN MANIS 4 TAMAN SEGAR 56100 KL    ,address
30/05/2017 10:18:02 AM    ,date
18.80    ,total
MR. D.I.Y. SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
5.90    ,total
5.90    ,total
18-10-17 15:16 SH01 ZT09    ,date
MR. D.I.Y. SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
9.90    ,total
9.90    ,total
28-12-17 18:52 SH01 ZT09    ,date
MR. D.I.Y. (KUCHAI) SDN BHD    ,company
LOT 1851-A & 1851-B  JALAN KPB 6     ,address
43300 SERI KEMBANGAN  SELANGOR    ,address
08-03-17 13:42 SH01 B028    ,date
IKANO HANDEL SDN BHD    ,company
NO 2A JALAN COCHRANE    ,address
TAMAN MALURI    ,address
55100 KUALA LUMPUR    ,address
538.00 SRS    ,total
538.00    ,total
538.00    ,total
538.00    ,total
IKANO HANDEL SDN BHD    ,company
NO 2A JALAN COCHRANE    ,address
TAMAN MALURI    ,address
55100 KUALA LUMPUR    ,address
99.80    ,total
99.80    ,total
99.80    ,total
FY EAGLE ENTERPRISE    ,company
NO. 42  JALAN PBS 14/11     ,address
TAMAN PERINDUSTRIAN BUKIT SERDANG     ,address
43300 SERI KEMBANGAN     ,address
SELANGOR    ,address
7.00    ,total
7.00    ,total
7.00    ,total
TRI SHAAS SDN BHD (728515-M)    ,company
4-20  JALAN RIA 25/62 TAMAN SRI MUDA    ,address
SEKSYEN 25  40400 SHAH ALAM SELANGOR    ,address
5.00    ,total
5.00    ,total
5.00    ,total
5.00    ,total
TRI SHAAS SDN BHD (728515-N)    ,company
4-20  JALAN RIA 25/62 TAMAN SRI MUDA    ,address
SEKSYEN 25  40400 SHAH ALAM SELANGOR    ,address
85.10    ,total
85.10    ,total
ADVANCO COMPANY    ,company
COMPANY REG. NO.: 725186-V    ,company
NO 1&3  JALAN ANGSA DELIMA 12     ,address
WANGSA LINK  WANGSA MAJU     ,address
53300 KUALA LUMPUR    ,address
23/03/2018 3:13:19    ,date
83.00    ,total
83.00    ,total
83.00    ,total
AEON CO. (M) BHD. (126926-H)    ,address
3 FLOOR  AEON TAMAN MALURI SC    ,address
JLN JEJAKA  TAMAN MALURI    ,address
CHERAS  55100 KUALA LUMPUR    ,address
5.90    ,total
5.90    ,total
5.90    ,total
22/03/2018 10:18    ,date
AEON DAISO FESTIVAL MALL    ,address
AEON CO. (M) BHD (126926-H)    ,address
3RD FLR  AEON TAMAN MALURI SC    ,address
JLN JEJAKA  TAMAN MALURI    ,address
CHERAS  55100 KUALA LUMPUR    ,address
5.90    ,total
5.90    ,total
5.90    ,total
09/02/2018    ,date
POPULAR BOOK    ,company
NO 8  JALAN 7/118B  DESA TUN RAZAK    ,address
56000 KUALA LUMPUR  MALAYSIA    ,address
KL FESTIVAL CITY MALL    ,address
07/01/18 14:41    ,date
31.45    ,total
POPULAR BOOK    ,company
CO. (M) SDN BHD    ,company
NO 8  JALAN 7/118B  DESA TUN RAZAK    ,address
56000 KUALA LUMPUR  MALAYSIA    ,address
29/03/18    ,date
9.65    ,total
POPULAR BOOK    ,company
CO. (M) SDN BHD    ,company
NO 8  JALAN 7/118B  DESA TUN RAZAK    ,address
56000 KUALA LUMPUR  MALAYSIA    ,address
12/01/18    ,date
21.00    ,total
WAHIN HARDWARE SDN BHD    ,company
425  JALAN PAHANG     ,address
SETAPAK  53000 KUALA LUMPUR.    ,address
42.40    ,total
42.40    ,total
42.40    ,total
04/12/17    ,date
WAHIN    ,company
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR.    ,address
47.70    ,total
47.70    ,total
47.70    ,total
47.70    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS.    ,address
53200  KUALA LUMPUR.    ,address
7.42    ,total
7.42    ,total
7.42    ,total
7.42    ,total
7.42    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS.    ,address
SETAPAK     ,address
53200  KUALA LUMPUR     ,address
29.68    ,total
29.68    ,total
29.68    ,total
29.68    ,total
29.68    ,total
IKANO HANDEL SDN BHD    ,company
NO 2A JALAN COCHRANE    ,address
TAMAN MALURI    ,address
55100 KUALA LUMPUR    ,address
73.30    ,total
73.30    ,total
73.30    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290. JALAN AIR PANAS.    ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
148.40    ,total
148.40    ,total
148.40    ,total
148.40    ,total
148.40    ,total
SWEET FOREST CAFE    ,company
NO 21  JLN BUNGA KANTAN    ,address
TAMAN P.RAMLEE SETAPAK    ,address
53000 KUALA LUMPUR.    ,address
30.30    ,total
30.30    ,total
14-02-2018    ,date
BEYOND BROTHERS HARDWARE    ,company
LOT 1-0-2  JLN 1/50     ,address
DIAMOND SQUARE     ,address
OFF JLN GOMBAK    ,address
53000 KUALA LUMPUR    ,address
599.45    ,total
599.45    ,total
ZAWIAJAYA FOOD N BEVERAGE SDN BHD    ,company
106-107  LEVEL 1 THE MINES MALL SERDANG    ,address
SRI KEMBANGAN  43300    ,address
SELANGOR DARUL EHSAN.    ,address
48.15    ,total
21-03-2018    ,date
LIM SENG THO HARDWARE TRADING    ,company
NO 7. SIMPANG OFF BATU VILLAGE.    ,address
JALAN IPOH BATU 5. 51200 KUALA LUMPUR    ,address
MALAYSIA    ,address
03/02/2018 15:28    ,date
7.00    ,total
7.00    ,total
7.00    ,total
7.00    ,total
LIM SENG THO HARDWARE TRADING    ,company
NO 7. SIMPANG OFF BATU VILLAGE.    ,address
JALAN IPOH BATU 5. 51200 KUALA LUMPUR    ,address
MALAYSIA    ,address
09/02/2018 11:40    ,date
7.00    ,total
7.00    ,total
7.00    ,total
7.00    ,total
LIM SENG THO HARDWARE TRADING    ,company
NO 7. SIMPANG OFF BATU VILLAGE.    ,address
JALAN IPOH BATU 5. 51200 KUALA LUMPUR    ,address
MALAYSIA    ,address
29/12/2017 11:41    ,date
6.00    ,total
6.00    ,total
6.00    ,total
6.00    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
28/12/2017    ,date
465.34    ,total
465.34    ,total
465.34    ,total
SOLARIS    ,address
DUTAMAS    ,address
SUN VICTORY SDN BHD    ,company
LEVEL G2  BLOCK D1.    ,address
SOLARIS DUTAMAS.    ,address
50480 KUALA LUMPUR.    ,address
14/01/2018 (SUN) 12:06    ,date
14/01/2018 (SUN) 13:51    ,date
RM4.00    ,total
RM4.00    ,total
RM4.00    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
93.07    ,total
93.07    ,total
93.07    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
44.73    ,total
44.73    ,total
44.73    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
23.32    ,total
23.32    ,total
23.32    ,total
23.32    ,total
23.32    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
116.28    ,total
116.28    ,total
116.28    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
94.87    ,total
94.87    ,total
94.87    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
53200  KUALA LUMPUR    ,address
13.25    ,total
13.25    ,total
13.25    ,total
SYARIKAT PERNIAGAAN GIN KEE    ,company
NO 290  JALAN AIR PANAS     ,address
SETAPAK     ,address
